year;age;sex;maritl;race;education;jobclass;health;health_ins;logwage;wage
2006;30;Male;Married;White; Advanced Degree; Information;Muy Buena o Excelente; Yes;4.74;114.48
2003;33;Male;Never Married;White; Some College; Industrial;Regular o Mala; No;4.05;57.35
2007;29;Male;Married;White; College Grad; Information;Muy Buena o Excelente; Yes;4.65;104.92
2008;32;Male;Married;White; HS Grad; Information;Muy Buena o Excelente; Yes;4.83;125.53
2007;54;Male;Married;White; HS Grad; Information;Regular o Mala; Yes;4.69;108.87
2005;40;Male;Never Married;Black; HS Grad; Industrial;Regular o Mala; Yes;4.18;65.11
2005;24;Male;Never Married;White; College Grad; Industrial;Muy Buena o Excelente; Yes;4.7;109.83
2008;30;Male;Separated;White;  < HS Grad; Industrial;Regular o Mala; No;4.26;70.82
2009;49;Male;Married;White; College Grad; Industrial;Muy Buena o Excelente; Yes;4.98;145.14
2006;47;Male;Married;Other; HS Grad; Industrial;Regular o Mala; Yes;4.62;101.82
2008;25;Male;Never Married;Black; HS Grad; Industrial;Muy Buena o Excelente; No;4.43;84.05
2007;44;Male;Married;White; Some College; Industrial;Muy Buena o Excelente; Yes;4.9;134.71
2007;41;Male;Divorced;White;  < HS Grad; Information;Regular o Mala; Yes;4.58;97.49
2005;54;Male;Separated;White; College Grad; Industrial;Muy Buena o Excelente; Yes;5.04;154.69
2003;25;Male;Never Married;White; HS Grad; Industrial;Muy Buena o Excelente; No;4.09;59.73
2009;63;Male;Married;Black; Advanced Degree; Industrial;Muy Buena o Excelente; No;4.52;91.7
2009;49;Male;Never Married;White; Some College; Information;Muy Buena o Excelente; Yes;4.7;109.83
2008;35;Male;Separated;Black; Some College; Information;Muy Buena o Excelente; Yes;4.74;114.48
2006;24;Male;Never Married;Asian; HS Grad; Industrial;Regular o Mala; No;4.19;66.23
2003;66;Male;Married;White; HS Grad; Industrial;Regular o Mala; Yes;4.53;92.9
2008;57;Male;Married;Other;  < HS Grad; Industrial;Muy Buena o Excelente; No;4.54;94.07
2003;47;Male;Married;White; College Grad; Information;Muy Buena o Excelente; Yes;4.78;118.88
2006;44;Male;Married;White; College Grad; Industrial;Regular o Mala; Yes;4.89;132.49
2006;56;Male;Married;White; College Grad; Industrial;Muy Buena o Excelente; Yes;4.85;127.12
2004;34;Male;Married;White; HS Grad; Information;Regular o Mala; No;4.6;99.69
2006;23;Male;Married;White;  < HS Grad; Industrial;Muy Buena o Excelente; No;3.7;40.41
2008;30;Male;Married;White; College Grad; Industrial;Muy Buena o Excelente; Yes;4.93;138.3
2004;38;Male;Married;White; Some College; Industrial;Muy Buena o Excelente; No;4.63;102.87
2004;43;Male;Married;Black;  < HS Grad; Information;Muy Buena o Excelente; Yes;4.38;79.85
2007;58;Male;Divorced;White; Some College; Information;Regular o Mala; Yes;4.72;111.72
2005;36;Male;Married;White; HS Grad; Industrial;Muy Buena o Excelente; No;4.13;62.2
2007;48;Male;Never Married;White; HS Grad; Information;Regular o Mala; Yes;4.26;70.48
2005;35;Male;Married;White; HS Grad; Information;Muy Buena o Excelente; Yes;4.45;86.04
2006;22;Male;Never Married;White; HS Grad; Information;Muy Buena o Excelente; No;4.6;99.69
2007;50;Male;Married;White; College Grad; Information;Muy Buena o Excelente; Yes;4.73;113.57
2004;58;Male;Married;White;  < HS Grad; Industrial;Regular o Mala; No;4.61;100.76
2003;20;Male;Never Married;White; HS Grad; Information;Muy Buena o Excelente; No;4.11;61.19
2007;44;Male;Married;White; HS Grad; Industrial;Muy Buena o Excelente; Yes;4.73;113.61
2003;50;Male;Married;Asian; College Grad; Information;Muy Buena o Excelente; Yes;4.9;134.71
2009;55;Male;Married;White; HS Grad; Industrial;Muy Buena o Excelente; Yes;4.65;104.92
2003;39;Male;Never Married;White; HS Grad; Information;Muy Buena o Excelente; Yes;4.7;109.83
2008;50;Male;Married;White; College Grad; Information;Muy Buena o Excelente; No;500;148.41
2009;24;Male;Married;White;  < HS Grad; Industrial;Muy Buena o Excelente; No;500;148.41
2009;53;Male;Married;White; Some College; Information;Muy Buena o Excelente; Yes;4.7;109.83
2003;35;Male;Married;White; HS Grad; Information;Regular o Mala; No;4.4;81.28
2003;25;Male;Never Married;White;  < HS Grad; Information;Muy Buena o Excelente; Yes;4.38;79.85
2006;24;Male;Never Married;Asian; College Grad; Industrial;Muy Buena o Excelente; Yes;4.7;109.83
2005;57;Male;Separated;White; College Grad; Industrial;Muy Buena o Excelente; Yes;500;148.41
2005;43;Male;Married;White;  < HS Grad; Information;Regular o Mala; Yes;4.18;65.11
2009;33;Male;Married;White; Some College; Information;Muy Buena o Excelente; Yes;4.48;88.3
2005;40;Male;Married;White; Some College; Information;Muy Buena o Excelente; Yes;4.52;91.7
2008;39;Male;Never Married;White; College Grad; Industrial;Muy Buena o Excelente; Yes;4.3;73.78
2004;32;Male;Married;White; Advanced Degree; Information;Muy Buena o Excelente; Yes;4.26;70.48
2005;48;Male;Divorced;White; College Grad; Information;Muy Buena o Excelente; Yes;4.86;128.68
2004;29;Male;Married;White; Advanced Degree; Industrial;Muy Buena o Excelente; Yes;4.54;94.07
2005;35;Male;Divorced;White; College Grad; Industrial;Muy Buena o Excelente; Yes;4.59;98.6
2004;41;Male;Married;White; HS Grad; Industrial;Muy Buena o Excelente; Yes;4.89;133.23
2009;52;Male;Married;White; HS Grad; Industrial;Muy Buena o Excelente; Yes;4.9;134.71
2005;50;Male;Married;White; HS Grad; Industrial;Regular o Mala; No;4.52;91.7
2004;35;Male;Married;Asian; College Grad; Information;Muy Buena o Excelente; No;5.08;160.64
2007;27;Male;Married;White; Some College; Industrial;Muy Buena o Excelente; Yes;4.6;99.69
2004;57;Male;Married;White; Advanced Degree; Industrial;Regular o Mala; Yes;4.74;114.48
2004;48;Male;Married;White; Some College; Information;Muy Buena o Excelente; No;4.58;97.49
2009;41;Male;Divorced;Black; Some College; Information;Regular o Mala; Yes;4.59;98.05
2005;59;Male;Married;White; Advanced Degree; Information;Muy Buena o Excelente; Yes;4.65;104.92
2003;55;Male;Married;White; College Grad; Information;Muy Buena o Excelente; Yes;4.7;109.83
2005;54;Male;Divorced;White; HS Grad; Information;Regular o Mala; Yes;4.89;133.23
2003;34;Male;Married;White; Advanced Degree; Industrial;Muy Buena o Excelente; Yes;4.78;118.88
2009;43;Male;Never Married;White; HS Grad; Information;Regular o Mala; Yes;4.3;73.78
2003;43;Male;Divorced;Black; College Grad; Information;Muy Buena o Excelente; Yes;4.65;104.92
2003;62;Male;Widoed;White;  < HS Grad; Industrial;Regular o Mala; No;4.13;62.03
2006;45;Male;Never Married;White; HS Grad; Information;Muy Buena o Excelente; No;4.58;97.49
2004;40;Male;Married;White; College Grad; Industrial;Muy Buena o Excelente; Yes;4.98;145.81
2003;33;Male;Married;White; HS Grad; Information;Muy Buena o Excelente; Yes;4.41;82.68
2005;45;Male;Married;White; Advanced Degree; Information;Regular o Mala; Yes;500;148.41
2009;21;Male;Never Married;White; Some College; Industrial;Muy Buena o Excelente; No;3.9;49.56
2009;54;Male;Married;Asian;  < HS Grad; Industrial;Regular o Mala; No;4.3;73.78
2003;43;Male;Married;White; College Grad; Industrial;Muy Buena o Excelente; No;4.3;73.78
2004;54;Male;Married;White; College Grad; Industrial;Regular o Mala; Yes;4.85;127.12
2004;35;Male;Married;White;  < HS Grad; Industrial;Regular o Mala; Yes;4.7;109.83
2008;23;Male;Never Married;White; Some College; Industrial;Muy Buena o Excelente; Yes;4.12;61.59
2006;61;Male;Widoed;White; HS Grad; Industrial;Muy Buena o Excelente; Yes;4.71;111.44
2004;51;Male;Divorced;White; College Grad; Industrial;Muy Buena o Excelente; Yes;4.93;138.3
2006;43;Male;Married;White; Some College; Industrial;Muy Buena o Excelente; Yes;4.85;127.12
2003;20;Male;Never Married;White; HS Grad; Industrial;Muy Buena o Excelente; No;4.32;75.36
2009;65;Male;Married;White; HS Grad; Information;Regular o Mala; Yes;4.78;118.88
2009;37;Male;Married;White; HS Grad; Industrial;Muy Buena o Excelente; Yes;4.7;109.83
2008;24;Male;Never Married;White; HS Grad; Industrial;Muy Buena o Excelente; No;4.19;66.23
2003;36;Male;Married;White; HS Grad; Industrial;Regular o Mala; Yes;4.29;73.29
2005;45;Male;Married;White; Some College; Information;Muy Buena o Excelente; No;4.88;130.98
2009;36;Male;Divorced;White; HS Grad; Industrial;Regular o Mala; No;4.46;86.91
2004;32;Male;Married;White; HS Grad; Industrial;Muy Buena o Excelente; Yes;4.7;109.83
2009;45;Male;Married;White; HS Grad; Industrial;Muy Buena o Excelente; Yes;4.78;118.88
2003;51;Male;Married;White; HS Grad; Industrial;Muy Buena o Excelente; No;4.65;104.92
2005;33;Male;Married;White; Some College; Information;Muy Buena o Excelente; Yes;4.92;136.88
2003;47;Male;Divorced;White; Some College; Industrial;Regular o Mala; Yes;4.43;84.05
2008;41;Male;Married;White; Some College; Information;Regular o Mala; Yes;4.8;121.43
2005;23;Male;Never Married;White; HS Grad; Information;Muy Buena o Excelente; No;4.57;96.4
2009;57;Male;Married;White; College Grad; Industrial;Muy Buena o Excelente; Yes;4.86;128.68
2006;61;Male;Married;White; Advanced Degree; Information;Muy Buena o Excelente; Yes;500;148.41
2007;47;Male;Divorced;White; Some College; Industrial;Muy Buena o Excelente; Yes;4.45;85.38
2003;29;Male;Married;Asian; College Grad; Information;Muy Buena o Excelente; Yes;4.48;87.98
2005;37;Male;Married;White; HS Grad; Industrial;Muy Buena o Excelente; Yes;4.6;99.69
2005;57;Male;Married;White; HS Grad; Industrial;Regular o Mala; Yes;500;148.41
2004;39;Male;Never Married;White; Advanced Degree; Information;Regular o Mala; No;4.4;81.28
2007;59;Male;Married;White; College Grad; Information;Muy Buena o Excelente; Yes;4.98;145.81
2007;31;Male;Married;White; College Grad; Information;Muy Buena o Excelente; Yes;500;149.06
2009;26;Male;Never Married;White; HS Grad; Industrial;Regular o Mala; No;4.58;97.49
2009;51;Male;Married;White; HS Grad; Industrial;Muy Buena o Excelente; Yes;4.77;118.02
2006;38;Male;Married;White; HS Grad; Industrial;Regular o Mala; No;4.6;99.69
2006;51;Male;Married;White; College Grad; Information;Regular o Mala; No;4.78;118.88
2004;50;Male;Married;White; HS Grad; Information;Muy Buena o Excelente; Yes;4.38;79.85
2005;32;Male;Married;White; Advanced Degree; Industrial;Muy Buena o Excelente; Yes;4.78;118.88
2007;38;Male;Married;White; College Grad; Information;Muy Buena o Excelente; Yes;5.08;160.64
2005;49;Male;Married;White; HS Grad; Industrial;Muy Buena o Excelente; Yes;5.18;176.99
2005;40;Male;Never Married;White; Some College; Information;Muy Buena o Excelente; Yes;4.3;73.78
2007;60;Male;Married;Asian; Advanced Degree; Information;Regular o Mala; Yes;5.04;154.69
2007;30;Male;Never Married;White; College Grad; Information;Muy Buena o Excelente; Yes;4.62;101.82
2003;41;Male;Married;White; College Grad; Information;Muy Buena o Excelente; Yes;4.88;130.98
2009;32;Male;Never Married;White; Some College; Information;Regular o Mala; Yes;4.74;114.48
2009;26;Male;Never Married;White; College Grad; Information;Muy Buena o Excelente; Yes;4.66;105.93
2004;41;Male;Married;White; Some College; Industrial;Regular o Mala; Yes;4.4;81.28
2008;53;Male;Married;White; HS Grad; Industrial;Regular o Mala; Yes;4.9;134.71
2005;35;Male;Married;White; Some College; Information;Muy Buena o Excelente; No;4.58;97.49
2008;50;Male;Married;White; HS Grad; Industrial;Muy Buena o Excelente; Yes;4.7;109.83
2004;43;Male;Married;White; College Grad; Information;Muy Buena o Excelente; Yes;5.15;171.77
2003;50;Male;Separated;White; HS Grad; Information;Regular o Mala; Yes;4.22;67.83
2009;19;Male;Never Married;Black; HS Grad; Information;Regular o Mala; No;4.3;73.78
2004;42;Male;Married;White; HS Grad; Industrial;Muy Buena o Excelente; No;4.52;91.7
2007;53;Male;Married;Asian; HS Grad; Industrial;Muy Buena o Excelente; Yes;4.2;66.96
2004;22;Male;Never Married;Black; Some College; Information;Regular o Mala; No;4.56;95.23
2003;49;Male;Married;White; HS Grad; Industrial;Regular o Mala; Yes;4.59;98.6
2005;33;Male;Never Married;White; HS Grad; Industrial;Muy Buena o Excelente; Yes;4.7;109.83
2005;31;Male;Never Married;White; HS Grad; Industrial;Regular o Mala; Yes;4.4;81.28
2004;43;Male;Married;White;  < HS Grad; Industrial;Regular o Mala; Yes;4.51;90.48
2009;57;Male;Married;White; Advanced Degree; Information;Muy Buena o Excelente; No;4.7;109.83
2005;40;Male;Married;White; Advanced Degree; Information;Muy Buena o Excelente; Yes;500;148.41
2003;48;Male;Married;White; HS Grad; Information;Muy Buena o Excelente; Yes;4.44;84.53
2004;46;Male;Married;White; College Grad; Industrial;Muy Buena o Excelente; Yes;4.62;101.82
2009;58;Male;Married;White; College Grad; Industrial;Muy Buena o Excelente; Yes;4.65;104.92
2003;50;Male;Married;White;  < HS Grad; Industrial;Muy Buena o Excelente; Yes;4.65;104.92
2005;38;Male;Married;White; Some College; Information;Muy Buena o Excelente; Yes;4.6;99.69
2004;33;Male;Never Married;White; Advanced Degree; Information;Muy Buena o Excelente; Yes;4.62;101.4
2007;52;Male;Married;White; Some College; Information;Muy Buena o Excelente; Yes;500;149.06
2004;48;Male;Married;White;  < HS Grad; Industrial;Regular o Mala; No;4.3;73.78
2006;53;Male;Married;White; Advanced Degree; Information;Muy Buena o Excelente; No;5.08;160.64
2008;37;Male;Never Married;White; Some College; Information;Muy Buena o Excelente; Yes;4.78;118.88
2007;43;Male;Married;White; HS Grad; Industrial;Muy Buena o Excelente; No;4.78;119.41
2008;54;Male;Married;White; Some College; Industrial;Muy Buena o Excelente; Yes;4.68;107.9
2004;41;Male;Married;White; Advanced Degree; Information;Muy Buena o Excelente; Yes;5.04;154.87
2005;57;Male;Married;White; College Grad; Industrial;Regular o Mala; No;4.32;75.36
2007;54;Male;Married;White; Advanced Degree; Industrial;Muy Buena o Excelente; Yes;4.78;118.54
2009;25;Male;Divorced;White; HS Grad; Industrial;Regular o Mala; Yes;4.34;76.89
2003;35;Male;Separated;White;  < HS Grad; Information;Muy Buena o Excelente; No;4.13;62.2
2008;29;Male;Married;White; Some College; Industrial;Muy Buena o Excelente; Yes;5.2;182.02
2005;43;Male;Married;White; College Grad; Industrial;Regular o Mala; Yes;4.95;141.78
2007;41;Male;Married;White; College Grad; Information;Muy Buena o Excelente; Yes;5.23;186.88
2003;52;Male;Married;White; College Grad; Industrial;Muy Buena o Excelente; No;4.28;72.15
2005;48;Male;Married;White; HS Grad; Industrial;Regular o Mala; No;3.9;49.56
2003;51;Male;Married;Black; HS Grad; Information;Muy Buena o Excelente; No;4.4;81.28
2004;55;Male;Married;White; Some College; Information;Muy Buena o Excelente; Yes;4.78;118.88
2004;37;Male;Married;White; Advanced Degree; Information;Muy Buena o Excelente; No;4.58;97.49
2007;48;Male;Never Married;White; Some College; Industrial;Muy Buena o Excelente; Yes;4.72;111.72
2003;42;Male;Married;White;  < HS Grad; Industrial;Regular o Mala; Yes;4.62;101.82
2007;43;Male;Married;White; College Grad; Industrial;Muy Buena o Excelente; Yes;4.85;127.12
2006;32;Male;Married;White; HS Grad; Industrial;Regular o Mala; No;4.48;87.98
2006;33;Male;Never Married;White; College Grad; Industrial;Regular o Mala; Yes;4.43;84.05
2003;48;Male;Married;White; HS Grad; Industrial;Muy Buena o Excelente; No;4.36;78.39
2009;20;Male;Never Married;Black; Some College; Information;Muy Buena o Excelente; No;3.84;46.37
2005;43;Male;Married;White; HS Grad; Industrial;Muy Buena o Excelente; Yes;4.89;132.86
2003;58;Male;Divorced;Black; HS Grad; Information;Regular o Mala; Yes;4.12;61.59
2004;38;Male;Married;White; Some College; Industrial;Muy Buena o Excelente; Yes;4.6;99.69
2008;23;Male;Never Married;White; HS Grad; Information;Muy Buena o Excelente; No;4.19;66.23
2009;54;Male;Divorced;White; HS Grad; Industrial;Regular o Mala; Yes;4.69;108.87
2007;66;Male;Married;White; Advanced Degree; Industrial;Regular o Mala; Yes;4.6;99.69
2009;47;Male;Married;White; Advanced Degree; Information;Muy Buena o Excelente; Yes;5.03;152.84
2003;35;Male;Married;White; Some College; Information;Regular o Mala; No;4.34;76.89
2008;39;Male;Married;White; HS Grad; Industrial;Muy Buena o Excelente; Yes;4.96;143.13
2005;35;Male;Never Married;Black; Some College; Information;Muy Buena o Excelente; Yes;4.83;125.2
2006;40;Male;Married;White; Some College; Industrial;Muy Buena o Excelente; Yes;4.33;75.61
2006;41;Male;Married;Asian; HS Grad; Industrial;Muy Buena o Excelente; Yes;4.7;109.83
2004;40;Male;Married;White; Advanced Degree; Information;Muy Buena o Excelente; Yes;5.18;176.99
2006;50;Male;Married;Black; HS Grad; Industrial;Regular o Mala; No;4.08;59.1
2004;35;Male;Married;White; HS Grad; Industrial;Muy Buena o Excelente; Yes;4.6;99.69
2009;43;Male;Married;White; Some College; Industrial;Regular o Mala; No;4.56;95.23
2005;26;Male;Never Married;White; Some College; Information;Muy Buena o Excelente; Yes;4.65;104.92
2009;23;Male;Never Married;White; HS Grad; Information;Muy Buena o Excelente; No;3.9;49.56
2003;61;Male;Married;White; Advanced Degree; Information;Muy Buena o Excelente; No;4.88;130.98
2004;24;Male;Never Married;White; College Grad; Information;Regular o Mala; Yes;3.78;43.74
2006;66;Male;Married;Black; Some College; Information;Muy Buena o Excelente; Yes;4.78;118.88
2006;50;Male;Widoed;White; HS Grad; Industrial;Muy Buena o Excelente; Yes;4.7;109.83
2005;22;Male;Never Married;White; HS Grad; Information;Regular o Mala; No;4.32;75.04
2004;62;Male;Married;Black; HS Grad; Information;Regular o Mala; Yes;4.52;91.7
2003;55;Male;Married;White; College Grad; Information;Muy Buena o Excelente; Yes;4.66;105.93
2004;41;Male;Married;White; College Grad; Industrial;Muy Buena o Excelente; No;4.3;73.78
2005;54;Male;Married;White; College Grad; Information;Muy Buena o Excelente; Yes;5.14;170.16
2009;29;Male;Married;Asian; College Grad; Industrial;Muy Buena o Excelente; No;4.93;138.3
2004;39;Male;Married;Black; HS Grad; Industrial;Regular o Mala; Yes;4.62;101.82
2006;71;Male;Divorced;White; College Grad; Information;Regular o Mala; No;4.48;87.98
2003;22;Male;Never Married;White; College Grad; Industrial;Muy Buena o Excelente; Yes;4.36;78.39
2007;48;Male;Married;White; College Grad; Information;Muy Buena o Excelente; No;4.81;123.09
2009;35;Male;Married;White; Some College; Industrial;Regular o Mala; Yes;4.76;116.27
2003;46;Male;Married;White; College Grad; Industrial;Regular o Mala; No;4.51;90.48
2003;51;Male;Married;White;  < HS Grad; Industrial;Regular o Mala; Yes;4.7;109.83
2005;55;Male;Married;White; HS Grad; Information;Regular o Mala; Yes;4.65;104.92
2005;36;Male;Married;White; HS Grad; Information;Muy Buena o Excelente; Yes;4.78;118.88
2008;57;Male;Married;White; HS Grad; Industrial;Muy Buena o Excelente; No;4.54;94.07
2005;21;Male;Married;White; HS Grad; Industrial;Muy Buena o Excelente; Yes;4.95;141.78
2006;60;Male;Married;White; Advanced Degree; Information;Muy Buena o Excelente; Yes;4.86;128.68
2006;41;Male;Never Married;Black; Some College; Industrial;Regular o Mala; No;4.3;73.78
2004;56;Male;Married;White; College Grad; Information;Regular o Mala; Yes;4.94;139.35
2005;32;Male;Never Married;White; College Grad; Information;Muy Buena o Excelente; Yes;4.54;94.07
2003;32;Male;Married;White; HS Grad; Industrial;Regular o Mala; Yes;4.3;73.78
2006;36;Male;Divorced;White; Some College; Industrial;Muy Buena o Excelente; Yes;4.68;107.9
2006;28;Male;Never Married;White; HS Grad; Industrial;Regular o Mala; No;4.17;64.54
2009;60;Male;Married;White; Advanced Degree; Information;Regular o Mala; No;4.93;138.3
2003;41;Male;Married;White; Some College; Information;Muy Buena o Excelente; Yes;4.49;89.24
2006;55;Male;Married;White; Some College; Industrial;Regular o Mala; Yes;4.6;99.69
2003;36;Male;Married;Black; Some College; Industrial;Muy Buena o Excelente; Yes;4.7;109.83
2006;46;Male;Never Married;Black; Some College; Information;Muy Buena o Excelente; Yes;4.51;90.48
2008;62;Male;Married;White; HS Grad; Industrial;Muy Buena o Excelente; No;4.49;89.49
2006;44;Male;Married;White; HS Grad; Industrial;Muy Buena o Excelente; No;4.63;102.77
2006;36;Male;Married;White; College Grad; Industrial;Muy Buena o Excelente; Yes;4.78;118.88
2004;41;Male;Married;White; HS Grad; Information;Muy Buena o Excelente; Yes;500;148.41
2006;22;Male;Never Married;White; College Grad; Information;Muy Buena o Excelente; Yes;4.74;114.48
2008;51;Male;Married;White; Advanced Degree; Information;Muy Buena o Excelente; Yes;4.87;129.98
2008;57;Male;Married;White;  < HS Grad; Information;Regular o Mala; Yes;4.71;110.78
2005;55;Male;Married;White; HS Grad; Information;Regular o Mala; Yes;4.74;114.48
2003;36;Male;Married;White; College Grad; Information;Muy Buena o Excelente; Yes;500;148.41
2003;38;Male;Married;White; Some College; Information;Regular o Mala; No;3.18;23.95
2006;27;Male;Never Married;White; Some College; Information;Muy Buena o Excelente; No;4.64;103.9
2007;32;Male;Married;White; Some College; Industrial;Muy Buena o Excelente; Yes;4.78;118.88
2009;44;Male;Never Married;White;  < HS Grad; Industrial;Regular o Mala; No;4.27;71.69
2007;38;Male;Married;Black; College Grad; Information;Muy Buena o Excelente; Yes;4.95;141.78
2003;36;Male;Married;White;  < HS Grad; Industrial;Regular o Mala; No;4.6;99.69
2005;28;Male;Never Married;White; Some College; Industrial;Muy Buena o Excelente; Yes;4.69;108.87
2005;39;Male;Married;White; HS Grad; Industrial;Muy Buena o Excelente; Yes;4.38;79.85
2008;42;Male;Never Married;Black; HS Grad; Information;Muy Buena o Excelente; No;4.37;78.98
2009;51;Male;Married;White;  < HS Grad; Industrial;Regular o Mala; Yes;4.41;82.68
2004;55;Male;Married;Black; HS Grad; Information;Regular o Mala; Yes;4.49;89.49
2007;39;Male;Never Married;White; Advanced Degree; Information;Muy Buena o Excelente; Yes;4.88;130.98
2003;42;Male;Married;White;  < HS Grad; Industrial;Muy Buena o Excelente; No;4.7;109.71
2006;33;Male;Married;Black; Advanced Degree; Information;Muy Buena o Excelente; Yes;4.76;117.15
2008;23;Male;Never Married;White; HS Grad; Information;Regular o Mala; Yes;4.3;73.78
2003;40;Male;Married;White; College Grad; Industrial;Muy Buena o Excelente; Yes;4.4;81.28
2003;40;Male;Married;White; Some College; Industrial;Regular o Mala; No;4.39;80.86
2009;51;Male;Married;Asian; Some College; Industrial;Regular o Mala; Yes;4.68;107.9
2007;76;Male;Married;Asian; College Grad; Industrial;Regular o Mala; Yes;4.34;76.89
2007;57;Male;Divorced;White; Advanced Degree; Industrial;Regular o Mala; Yes;4.48;87.98
2003;27;Male;Separated;White; Some College; Industrial;Muy Buena o Excelente; Yes;4.56;95.23
2005;26;Male;Never Married;Black; HS Grad; Industrial;Muy Buena o Excelente; Yes;4.43;84.05
2005;25;Male;Married;White; HS Grad; Industrial;Regular o Mala; Yes;4.6;99.69
2005;27;Male;Married;White; Some College; Industrial;Muy Buena o Excelente; Yes;4.62;101.4
2004;33;Male;Never Married;White; Some College; Information;Regular o Mala; Yes;4.48;87.98
2003;51;Male;Divorced;White;  < HS Grad; Industrial;Muy Buena o Excelente; Yes;4.48;87.98
2005;22;Male;Never Married;White; College Grad; Information;Muy Buena o Excelente; Yes;4.54;94.07
2005;47;Male;Married;White; HS Grad; Industrial;Regular o Mala; Yes;4.85;128.2
2009;34;Male;Never Married;White; Some College; Information;Muy Buena o Excelente; Yes;4.92;136.52
2008;47;Male;Divorced;White; Some College; Industrial;Muy Buena o Excelente; Yes;4.68;107.9
2005;31;Male;Never Married;White; Some College; Industrial;Muy Buena o Excelente; Yes;4.81;123.09
2005;46;Male;Married;White; HS Grad; Industrial;Regular o Mala; Yes;4.52;91.7
2006;47;Male;Married;White; HS Grad; Information;Muy Buena o Excelente; Yes;4.36;78.39
2006;49;Male;Married;White; College Grad; Industrial;Muy Buena o Excelente; Yes;5.04;154.69
2003;40;Male;Married;Black; College Grad; Industrial;Muy Buena o Excelente; Yes;4.91;136.16
2004;51;Male;Married;White;  < HS Grad; Information;Muy Buena o Excelente; Yes;4.4;81.28
2008;31;Male;Married;White; Some College; Industrial;Muy Buena o Excelente; Yes;4.33;76.28
2003;58;Male;Married;White; HS Grad; Information;Muy Buena o Excelente; Yes;4.7;109.83
2005;48;Male;Married;Black; Some College; Industrial;Muy Buena o Excelente; No;4.47;87.79
2004;54;Male;Divorced;Black; College Grad; Industrial;Muy Buena o Excelente; Yes;4.85;127.12
2007;56;Male;Never Married;White; Advanced Degree; Information;Muy Buena o Excelente; No;5.04;154.07
2007;61;Male;Married;White; HS Grad; Industrial;Regular o Mala; Yes;4.7;109.83
2009;32;Male;Married;Asian; Advanced Degree; Industrial;Muy Buena o Excelente; Yes;4.93;138.3
2007;60;Male;Married;White; College Grad; Information;Muy Buena o Excelente; No;5.1;164.65
2006;42;Male;Married;White; Some College; Industrial;Muy Buena o Excelente; Yes;4.93;138.3
2003;22;Male;Never Married;Asian; Some College; Information;Muy Buena o Excelente; No;3.81;44.98
2003;46;Male;Married;White; Some College; Industrial;Muy Buena o Excelente; Yes;4.67;106.72
2005;53;Male;Married;White;  < HS Grad; Information;Muy Buena o Excelente; Yes;4.74;114.48
2008;43;Male;Divorced;White; College Grad; Industrial;Muy Buena o Excelente; Yes;4.3;73.78
2009;32;Male;Never Married;White; HS Grad; Industrial;Muy Buena o Excelente; Yes;4.32;75.36
2009;30;Male;Married;White; College Grad; Industrial;Muy Buena o Excelente; Yes;4.95;141.78
2009;50;Male;Never Married;Black; Advanced Degree; Information;Regular o Mala; Yes;4.7;109.83
2009;55;Male;Married;White;  < HS Grad; Information;Muy Buena o Excelente; No;4.38;79.85
2004;42;Male;Married;White; College Grad; Information;Muy Buena o Excelente; Yes;5.11;166.32
2004;35;Male;Never Married;White; HS Grad; Industrial;Muy Buena o Excelente; Yes;4.32;75.36
2004;33;Male;Married;White; College Grad; Information;Muy Buena o Excelente; Yes;4.61;100.09
2004;33;Male;Married;White; Some College; Information;Regular o Mala; Yes;4.63;102.87
2003;38;Male;Married;White; HS Grad; Information;Muy Buena o Excelente; Yes;4.78;118.71
2009;41;Male;Married;White; HS Grad; Information;Muy Buena o Excelente; Yes;4.76;117.15
2009;42;Male;Married;White; Advanced Degree; Information;Muy Buena o Excelente; No;4.82;123.5
2009;58;Male;Married;White; College Grad; Information;Muy Buena o Excelente; Yes;500;148.41
2009;45;Male;Married;White; HS Grad; Industrial;Regular o Mala; No;4.34;76.89
2009;47;Male;Never Married;White; HS Grad; Information;Muy Buena o Excelente; Yes;4.7;109.83
2005;30;Male;Married;White; HS Grad; Information;Muy Buena o Excelente; Yes;4.66;105.93
2009;34;Male;Married;White; College Grad; Information;Muy Buena o Excelente; Yes;5.08;160.64
2006;43;Male;Married;White; Advanced Degree; Information;Muy Buena o Excelente; No;5.01;149.7
2008;58;Male;Separated;White;  < HS Grad; Industrial;Muy Buena o Excelente; Yes;4.6;99.69
2009;44;Male;Married;Black; Some College; Industrial;Regular o Mala; No;4.65;104.92
2005;28;Male;Married;White;  < HS Grad; Industrial;Muy Buena o Excelente; No;4.11;61.19
2004;46;Male;Married;White; Some College; Information;Muy Buena o Excelente; Yes;4.66;105.93
2008;36;Male;Married;White; Some College; Industrial;Muy Buena o Excelente; Yes;4.68;107.9
2007;37;Male;Married;Black; HS Grad; Information;Muy Buena o Excelente; Yes;4.26;70.82
2008;47;Male;Married;White; College Grad; Information;Muy Buena o Excelente; Yes;5.08;160.64
2007;56;Male;Divorced;White; Some College; Information;Muy Buena o Excelente; No;4.6;99.69
2009;38;Male;Married;White; Some College; Information;Muy Buena o Excelente; Yes;4.72;111.72
2007;41;Male;Never Married;Black;  < HS Grad; Industrial;Muy Buena o Excelente; No;4.32;75.36
